I259347;C261249;Male;67;Clothing;2;600.16;Debit Card;28/11/2022;Mall of Istanbul;2;600,16
I219797;C278287;Female;31;Clothing;3;900.24;Credit Card;31/12/2021;Kanyon;3;900,24
I685098;C567602;Female;49;Food & Beverage;4;20.92;Cash;26/09/2021;Kanyon;4;20,92
I111043;C119354;Female;64;Cosmetics;5;203.30;Debit Card;27/11/2022;Kanyon;5;203,3
I309761;C131475;Female;28;Technology;2;2100.00;Cash;28/02/2022;Metropol AVM;2;2100
I312242;C256989;Female;66;Shoes;3;1800.51;Cash;5/9/2021;Kanyon;3;1800,51
I275583;C265938;Male;33;Clothing;3;900.24;Cash;24/05/2022;Kanyon;3;900,24
I801932;C107221;Female;59;Cosmetics;3;121.98;Cash;9/6/2021;Cevahir AVM;3;121,98
I324599;C134336;Male;21;Clothing;4;1200.32;Cash;12/11/2021;Mall of Istanbul;4;1200,32
I280041;C184457;Female;55;Clothing;1;300.08;Debit Card;16/04/2021;Zorlu Center;1;300,08
I238429;C135851;Female;40;Clothing;4;1200.32;Credit Card;7/8/2021;Metrocity;4;1200,32
I148572;C334773;Female;22;Technology;1;1050.00;Credit Card;28/04/2022;Mall of Istanbul;1;1050
I104047;C303532;Male;56;Clothing;3;900.24;Cash;15/03/2021;Metrocity;3;900,24
I143098;C248261;Female;68;Books;3;45.45;Credit Card;17/03/2021;Mall of Istanbul;3;45,45
I386582;C251375;Female;35;Clothing;2;600.16;Credit Card;30/05/2022;Kanyon;2;600,16
I995536;C255498;Male;34;Technology;4;4200.00;Credit Card;15/12/2021;Metropol AVM;4;4200
I502593;C346524;Female;61;Technology;4;4200.00;Debit Card;10/4/2021;Istinye Park;4;4200
I643733;C109499;Male;65;Toys;5;179.20;Credit Card;20/03/2021;Istinye Park;5;179,2
I408690;C356648;Male;20;Clothing;3;900.24;Cash;21/10/2022;Kanyon;3;900,24
I331616;C197928;Female;36;Food & Beverage;2;10.46;Cash;19/06/2022;Kanyon;2;10,46
I115825;C318601;Male;57;Shoes;1;600.17;Credit Card;9/9/2021;Metrocity;1;600,17
I304764;C278167;Female;56;Clothing;4;1200.32;Credit Card;27/05/2022;Metrocity;4;1200,32
I187760;C271649;Female;57;Clothing;2;600.16;Credit Card;24/03/2021;Mall of Istanbul;2;600,16
I262953;C172950;Female;67;Cosmetics;1;40.66;Credit Card;11/10/2022;Viaport Outlet;1;40,66
I172221;C310521;Female;35;Clothing;5;1500.40;Cash;5/12/2022;Kanyon;5;1500,4
I564075;C909206;Female;22;Food & Beverage;1;5.23;Credit Card;1/2/2021;Mall of Istanbul;1;5,23
I471964;C261715;Female;58;Shoes;4;2400.68;Cash;19/07/2022;Mall of Istanbul;4;2400,68
I297784;C302492;Female;63;Cosmetics;3;121.98;Debit Card;10/4/2021;Mall of Istanbul;3;121,98
I120230;C206465;Female;28;Clothing;2;600.16;Credit Card;22/04/2022;Mall of Istanbul;2;600,16
I294318;C134508;Female;58;Shoes;5;3000.85;Credit Card;25/07/2022;Emaar Square Mall;5;3000,85
I279831;C272074;Female;34;Clothing;1;300.08;Credit Card;25/06/2021;Cevahir AVM;1;300,08
I332794;C291384;Male;22;Food & Beverage;2;10.46;Credit Card;28/10/2021;Metrocity;2;10,46
I876879;C824907;Female;24;Food & Beverage;4;20.92;Cash;28/06/2021;Kanyon;4;20,92
I230665;C263513;Female;30;Clothing;1;300.08;Credit Card;7/5/2021;Metrocity;1;300,08
I267484;C113830;Female;52;Cosmetics;5;203.30;Debit Card;7/4/2021;Zorlu Center;5;203,3
I248215;C553393;Male;21;Clothing;1;300.08;Credit Card;16/05/2021;Mall of Istanbul;1;300,08
I539335;C412806;Male;29;Cosmetics;1;40.66;Credit Card;31/03/2022;Metrocity;1;40,66
I287207;C325668;Female;51;Clothing;3;900.24;Debit Card;31/07/2022;Viaport Outlet;3;900,24
I506483;C734463;Female;50;Shoes;5;3000.85;Credit Card;2/2/2023;Metrocity;5;3000,85
I201805;C329257;Male;27;Shoes;5;3000.85;Credit Card;1/10/2021;Viaport Outlet;5;3000,85
I160833;C280670;Male;20;Toys;1;35.84;Cash;19/11/2021;Metrocity;1;35,84
I123117;C302880;Male;46;Food & Beverage;1;5.23;Credit Card;2/4/2021;Forum Istanbul;1;5,23
I136974;C224631;Female;66;Cosmetics;5;203.30;Credit Card;7/6/2022;Metrocity;5;203,3
I335321;C211849;Female;63;Cosmetics;1;40.66;Cash;22/03/2022;Istinye Park;1;40,66
I711718;C228668;Female;28;Technology;4;4200.00;Credit Card;1/5/2022;Metropol AVM;4;4200
I620092;C881712;Female;50;Clothing;4;1200.32;Cash;4/8/2022;Zorlu Center;4;1200,32
I228707;C320545;Male;49;Clothing;5;1500.40;Credit Card;24/06/2022;Mall of Istanbul;5;1500,4
I654597;C217893;Male;49;Food & Beverage;4;20.92;Credit Card;15/10/2021;Mall of Istanbul;4;20,92
I211668;C326584;Female;45;Clothing;1;300.08;Credit Card;9/9/2021;Viaport Outlet;1;300,08
I290810;C326841;Female;62;Clothing;3;900.24;Credit Card;16/01/2023;Kanyon;3;900,24
I334636;C286699;Female;60;Clothing;3;900.24;Debit Card;24/10/2022;Cevahir AVM;3;900,24
I312274;C286709;Female;60;Toys;3;107.52;Debit Card;28/12/2021;Istinye Park;3;107,52
I287359;C169026;Male;58;Souvenir;5;58.65;Credit Card;28/08/2022;Metrocity;5;58,65
I335948;C210727;Male;31;Food & Beverage;4;20.92;Cash;16/03/2021;Mall of Istanbul;4;20,92
I102195;C242866;Female;28;Clothing;1;300.08;Credit Card;21/02/2021;Kanyon;1;300,08
I289624;C227878;Female;57;Clothing;2;600.16;Credit Card;24/01/2021;Metrocity;2;600,16
I428515;C303431;Male;33;Food & Beverage;2;10.46;Credit Card;7/10/2021;Mall of Istanbul;2;10,46
I228362;C310794;Male;25;Clothing;5;1500.40;Debit Card;5/6/2021;Kanyon;5;1500,4
I138142;C163577;Female;40;Clothing;2;600.16;Cash;10/4/2022;Mall of Istanbul;2;600,16
I154751;C152515;Female;45;Toys;5;179.20;Cash;13/06/2021;Metrocity;5;179,2
I107107;C245173;Male;52;Clothing;5;1500.40;Cash;1/1/2023;Mall of Istanbul;5;1500,4
I246794;C185785;Female;36;Cosmetics;5;203.30;Debit Card;17/01/2023;Metrocity;5;203,3
I317883;C183910;Female;38;Food & Beverage;1;5.23;Debit Card;6/5/2021;Metropol AVM;1;5,23
I895041;C357277;Female;24;Books;5;75.75;Credit Card;19/01/2021;Viaport Outlet;5;75,75
I613867;C167892;Female;22;Toys;1;35.84;Cash;18/11/2021;Metrocity;1;35,84
I283870;C128304;Male;37;Cosmetics;3;121.98;Debit Card;3/3/2023;Istinye Park;3;121,98
I263919;C261427;Male;43;Clothing;4;1200.32;Cash;17/06/2021;Emaar Square Mall;4;1200,32
I462145;C202347;Female;66;Cosmetics;3;121.98;Credit Card;10/4/2021;Kanyon;3;121,98
I244585;C135951;Male;69;Clothing;1;300.08;Debit Card;17/09/2021;Zorlu Center;1;300,08
I209109;C218979;Female;32;Shoes;4;2400.68;Credit Card;27/02/2023;Kanyon;4;2400,68
I822463;C103795;Male;62;Food & Beverage;4;20.92;Credit Card;5/11/2022;Emaar Square Mall;4;20,92
I176722;C982259;Female;52;Clothing;1;300.08;Credit Card;8/4/2021;Cevahir AVM;1;300,08
I189735;C215039;Female;54;Shoes;4;2400.68;Cash;16/09/2021;Mall of Istanbul;4;2400,68
I205883;C133812;Male;45;Toys;2;71.68;Debit Card;20/07/2021;Metropol AVM;2;71,68
I258856;C284955;Male;63;Toys;2;71.68;Cash;8/2/2023;Forum Istanbul;2;71,68
I732725;C450915;Female;29;Clothing;4;1200.32;Credit Card;28/09/2021;Kanyon;4;1200,32
I116946;C787810;Male;29;Clothing;4;1200.32;Credit Card;28/07/2022;Kanyon;4;1200,32
I238658;C191258;Female;46;Food & Beverage;2;10.46;Cash;25/03/2022;Istinye Park;2;10,46
I100200;C948033;Male;24;Toys;4;143.36;Cash;28/07/2021;Metrocity;4;143,36
I987768;C305446;Male;21;Shoes;2;1200.34;Credit Card;24/04/2022;Istinye Park;2;1200,34
I280428;C721380;Male;29;Food & Beverage;1;5.23;Cash;16/09/2022;Cevahir AVM;1;5,23
I258838;C300033;Female;36;Food & Beverage;4;20.92;Credit Card;12/2/2022;Metrocity;4;20,92
I322119;C140512;Male;19;Toys;5;179.20;Debit Card;1/1/2023;Metrocity;5;179,2
I115564;C117036;Female;34;Clothing;3;900.24;Cash;4/10/2022;Forum Istanbul;3;900,24
I117539;C206387;Male;62;Clothing;1;300.08;Credit Card;11/4/2022;Istinye Park;1;300,08
I171556;C228826;Male;35;Cosmetics;2;81.32;Cash;14/01/2021;Forum Istanbul;2;81,32
I668401;C221645;Female;32;Cosmetics;3;121.98;Credit Card;6/8/2021;Kanyon;3;121,98
I773549;C769569;Male;34;Clothing;3;900.24;Credit Card;28/02/2023;Kanyon;3;900,24
I302463;C242918;Female;42;Clothing;5;1500.40;Cash;28/12/2022;Metrocity;5;1500,4
I158880;C297296;Female;49;Food & Beverage;1;5.23;Credit Card;1/2/2022;Metropol AVM;1;5,23
I207070;C707925;Female;26;Cosmetics;5;203.30;Cash;6/1/2022;Metrocity;5;203,3
I295364;C190074;Female;53;Food & Beverage;3;15.69;Cash;13/12/2022;Metropol AVM;3;15,69
I215724;C244527;Female;67;Cosmetics;4;162.64;Cash;30/10/2021;Mall of Istanbul;4;162,64
I265426;C333581;Female;47;Toys;4;143.36;Cash;6/6/2022;Mall of Istanbul;4;143,36
I333263;C158737;Male;30;Food & Beverage;2;10.46;Debit Card;24/08/2022;Kanyon;2;10,46
I185069;C261273;Male;27;Clothing;1;300.08;Cash;2/10/2021;Zorlu Center;1;300,08
I300222;C246516;Female;35;Clothing;4;1200.32;Cash;6/6/2021;Istinye Park;4;1200,32
I944501;C133790;Male;25;Food & Beverage;1;5.23;Cash;3/5/2022;Kanyon;1;5,23
I195903;C287436;Male;52;Cosmetics;1;40.66;Credit Card;11/10/2022;Mall of Istanbul;1;40,66
I269267;C259818;Male;31;Cosmetics;1;40.66;Credit Card;11/11/2022;Istinye Park;1;40,66
I304695;C110822;Male;35;Food & Beverage;2;10.46;Credit Card;8/4/2021;Metropol AVM;2;10,46
I179698;C971686;Female;65;Toys;5;179.20;Debit Card;27/02/2023;Istinye Park;5;179,2
I127688;C248848;Female;45;Food & Beverage;3;15.69;Credit Card;30/07/2022;Mall of Istanbul;3;15,69
I224428;C195567;Female;21;Clothing;3;900.24;Cash;7/11/2021;Metrocity;3;900,24
I163173;C229667;Female;65;Shoes;1;600.17;Cash;24/12/2021;Mall of Istanbul;1;600,17
I249320;C256281;Female;38;Shoes;2;1200.34;Cash;8/2/2023;Emaar Square Mall;2;1200,34
I465087;C238065;Male;38;Food & Beverage;4;20.92;Debit Card;21/02/2021;Forum Istanbul;4;20,92
I927469;C670904;Female;25;Cosmetics;1;40.66;Cash;19/05/2022;Mall of Istanbul;1;40,66
I218569;C127088;Male;27;Books;3;45.45;Credit Card;20/11/2021;Metrocity;3;45,45
I152207;C906936;Female;40;Food & Beverage;4;20.92;Credit Card;9/11/2021;Metropol AVM;4;20,92
I313537;C741450;Male;27;Cosmetics;4;162.64;Debit Card;14/09/2022;Forum Istanbul;4;162,64
I115640;C220395;Female;60;Food & Beverage;3;15.69;Credit Card;5/2/2023;Cevahir AVM;3;15,69
I689264;C166519;Male;59;Clothing;5;1500.40;Cash;10/6/2021;Metrocity;5;1500,4
I269145;C225370;Female;64;Clothing;3;900.24;Cash;17/10/2021;Mall of Istanbul;3;900,24
I290158;C451945;Female;62;Toys;5;179.20;Credit Card;23/03/2021;Istinye Park;5;179,2
I129999;C217008;Male;42;Toys;1;35.84;Credit Card;13/01/2021;Metrocity;1;35,84
I109024;C272965;Female;37;Shoes;3;1800.51;Cash;12/5/2021;Metrocity;3;1800,51
I285583;C166435;Female;29;Food & Beverage;5;26.15;Cash;23/08/2021;Mall of Istanbul;5;26,15
I205970;C505219;Female;50;Food & Beverage;4;20.92;Credit Card;22/02/2021;Metrocity;4;20,92
I321918;C850240;Female;19;Souvenir;4;46.92;Credit Card;23/12/2022;Mall of Istanbul;4;46,92
I327035;C482939;Female;50;Books;2;30.30;Cash;19/11/2021;Istinye Park;2;30,3
I959803;C281587;Female;48;Shoes;1;600.17;Debit Card;23/06/2022;Kanyon;1;600,17
I290455;C480756;Female;66;Souvenir;3;35.19;Debit Card;17/11/2021;Kanyon;3;35,19
I168337;C214452;Female;33;Clothing;2;600.16;Cash;25/12/2022;Mall of Istanbul;2;600,16
I110863;C125407;Male;26;Shoes;5;3000.85;Credit Card;8/7/2021;Istinye Park;5;3000,85
